Line 1 has 82 chars: 42 are letters (26 lower, 16 upper), 11 are digits.
Line 2 has 5 chars: 3 are letters (1 lower, 2 upper), 0 are digits.
Line 3 has 48 chars: 16 are letters (8 lower, 8 upper), 3 are digits.
Line 4 has 0 chars: 0 are letters (0 lower, 0 upper), 0 are digits.
Line 5 has 51 chars: 29 are letters (16 lower, 13 upper), 4 are digits.
Line 6 has 90 chars: 48 are letters (20 lower, 28 upper), 6 are digits.
Line 7 has 57 chars: 37 are letters (20 lower, 17 upper), 1 are digits.
Line 8 has 64 chars: 31 are letters (13 lower, 18 upper), 5 are digits.
Line 9 has 95 chars: 48 are letters (18 lower, 30 upper), 5 are digits.
Line 10 has 48 chars: 30 are letters (19 lower, 11 upper), 1 are digits.
Line 11 has 38 chars: 23 are letters (6 lower, 17 upper), 4 are digits.
Line 12 has 8 chars: 5 are letters (2 lower, 3 upper), 0 are digits.
Line 13 has 92 chars: 42 are letters (22 lower, 20 upper), 9 are digits.
Line 14 has 8 chars: 6 are letters (2 lower, 4 upper), 0 are digits.
Line 15 has 61 chars: 31 are letters (16 lower, 15 upper), 7 are digits.
Line 16 has 100 chars: 52 are letters (26 lower, 26 upper), 10 are digits.
Line 17 has 52 chars: 22 are letters (11 lower, 11 upper), 5 are digits.
Line 18 has 54 chars: 36 are letters (21 lower, 15 upper), 6 are digits.
Line 19 has 46 chars: 16 are letters (6 lower, 10 upper), 9 are digits.
Line 20 has 86 chars: 40 are letters (19 lower, 21 upper), 12 are digits.
Line 21 has 16 chars: 6 are letters (2 lower, 4 upper), 3 are digits.
Line 22 has 71 chars: 35 are letters (17 lower, 18 upper), 7 are digits.
Line 23 has 56 chars: 21 are letters (9 lower, 12 upper), 5 are digits.
Line 24 has 15 chars: 9 are letters (4 lower, 5 upper), 2 are digits.
Line 25 has 66 chars: 28 are letters (14 lower, 14 upper), 11 are digits.
Line 26 has 56 chars: 27 are letters (15 lower, 12 upper), 5 are digits.
Line 27 has 34 chars: 20 are letters (10 lower, 10 upper), 4 are digits.
Line 28 has 25 chars: 11 are letters (7 lower, 4 upper), 3 are digits.
Line 29 has 38 chars: 20 are letters (10 lower, 10 upper), 2 are digits.
Line 30 has 33 chars: 17 are letters (6 lower, 11 upper), 2 are digits.
Line 31 has 51 chars: 25 are letters (12 lower, 13 upper), 5 are digits.
Line 32 has 60 chars: 28 are letters (14 lower, 14 upper), 4 are digits.
Line 33 has 99 chars: 43 are letters (22 lower, 21 upper), 10 are digits.
Line 34 has 25 chars: 9 are letters (5 lower, 4 upper), 3 are digits.
Line 35 has 87 chars: 46 are letters (25 lower, 21 upper), 10 are digits.
Line 36 has 35 chars: 20 are letters (8 lower, 12 upper), 3 are digits.
Line 37 has 77 chars: 35 are letters (11 lower, 24 upper), 6 are digits.
Line 38 has 46 chars: 18 are letters (9 lower, 9 upper), 5 are digits.
Line 39 has 84 chars: 46 are letters (26 lower, 20 upper), 6 are digits.
Line 40 has 84 chars: 44 are letters (23 lower, 21 upper), 7 are digits.
Line 41 has 37 chars: 19 are letters (8 lower, 11 upper), 4 are digits.
Line 42 has 41 chars: 21 are letters (11 lower, 10 upper), 2 are digits.
Line 43 has 99 chars: 64 are letters (35 lower, 29 upper), 7 are digits.
Line 44 has 74 chars: 32 are letters (15 lower, 17 upper), 7 are digits.
Line 45 has 40 chars: 15 are letters (9 lower, 6 upper), 4 are digits.
Line 46 has 2 chars: 0 are letters (0 lower, 0 upper), 1 are digits.
Line 47 has 82 chars: 42 are letters (26 lower, 16 upper), 8 are digits.
Line 48 has 77 chars: 41 are letters (17 lower, 24 upper), 6 are digits.
Line 49 has 89 chars: 44 are letters (23 lower, 21 upper), 13 are digits.
Line 50 has 25 chars: 14 are letters (8 lower, 6 upper), 3 are digits.
Line 51 has 32 chars: 13 are letters (7 lower, 6 upper), 5 are digits.
Line 52 has 13 chars: 8 are letters (6 lower, 2 upper), 1 are digits.
Line 53 has 100 chars: 52 are letters (27 lower, 25 upper), 6 are digits.
Line 54 has 34 chars: 20 are letters (10 lower, 10 upper), 4 are digits.
Line 55 has 67 chars: 33 are letters (21 lower, 12 upper), 4 are digits.
Line 56 has 14 chars: 5 are letters (1 lower, 4 upper), 1 are digits.
Line 57 has 36 chars: 20 are letters (9 lower, 11 upper), 5 are digits.
Line 58 has 89 chars: 40 are letters (20 lower, 20 upper), 9 are digits.
Line 59 has 95 chars: 56 are letters (34 lower, 22 upper), 2 are digits.
Line 60 has 69 chars: 23 are letters (17 lower, 6 upper), 6 are digits.
Line 61 has 58 chars: 34 are letters (16 lower, 18 upper), 4 are digits.
Line 62 has 75 chars: 41 are letters (22 lower, 19 upper), 6 are digits.
Line 63 has 60 chars: 31 are letters (12 lower, 19 upper), 8 are digits.
